Event Name,Event Time,Status,External Url
AI powered product design – from ideation to visualization ,"Jul 06, 2023 01:00 PM - Jul 06, 2023 02:00 PM",APPROVED,
You Think You Have Strategy. But Do You?,"Mar 07, 2025 04:00 PM - Mar 07, 2025 05:00 PM",APPROVED,
AI-Powered Frontend Development: Building Better UIs,"Mar 13, 2025 05:00 PM - Mar 13, 2025 06:00 PM",APPROVED,https://bit.ly/4k2W3I9
ChatGPT Developer Mode + MCP ↔️ Make - Live med Sibbe,"Sep 14, 2025 07:00 PM - Sep 14, 2025 08:00 PM",APPROVED,
Unapologetically Authentic Event 2,"Dec 07, 2023 08:05 PM - Dec 07, 2023 09:30 PM",APPROVED,
Hållbara strategier: Hur möter ni kundens förväntningar?,"Sep 03, 2021 08:00 AM - Sep 03, 2021 09:00 AM",APPROVED,
Product Led Growth Demystified,"Apr 24, 2023 01:30 PM - Apr 24, 2023 02:30 PM",APPROVED,
How To Build A Personal OS With AI AMA,"Mar 18, 2026 02:30 PM - Mar 18, 2026 03:30 PM",APPROVED,
Frukost & AI-snack med Pontus Wärnestål ,"May 25, 2023 06:00 AM - May 25, 2023 07:00 AM",APPROVED,
"Goodness Adebayo - ""From Invisible to Irresistible""","Sep 30, 2025 01:30 PM - Sep 30, 2025 02:30 PM",APPROVED,
Unleashing the Power of Teaching and Personal Branding,"Jun 08, 2023 06:00 PM - Jun 08, 2023 07:30 PM",APPROVED,
How To Design For Accessibility AMA,"May 07, 2025 02:00 PM - May 07, 2025 03:00 PM",APPROVED,
ProductBeats Show - Sharpen your brain,"Mar 09, 2021 07:27 AM - Mar 09, 2021 07:57 AM",RELINQUISHED,
Omtänksam digitalisering - tid att reflektera tillsammans,"May 10, 2023 09:00 AM - May 10, 2023 09:50 AM",APPROVED,
Future of Design,"Mar 22, 2022 02:00 PM - Mar 22, 2022 03:00 PM",APPROVED,
SaaSiest 2023,"Apr 18, 2023 06:00 AM - Apr 19, 2023 03:00 PM",APPROVED,https://saasiest2023.com
Facilitators Rendez-vous: 🎤 Get to know the speakers 🌟,"Jun 10, 2024 05:00 PM - Jun 10, 2024 06:00 PM",APPROVED,https://family.facilitatorsconnect.com/events/A52AE4
Live: Så kompetensutvecklar Hector Rail sina medarbetare runtom i Europa,"Nov 09, 2021 08:00 AM - Nov 09, 2021 08:45 AM",RELINQUISHED,
"How Apple, Google, and Amazon's visions shaped their design strategy","Oct 13, 2021 03:30 PM - Oct 13, 2021 04:30 PM",APPROVED,
H22 Summit 2020,"Nov 02, 2020 07:00 AM - Nov 06, 2020 04:00 PM",APPROVED,https://h22.se/en/summit/
Story Webinar: Så utbildar NCS Colour sina kunder online!,"Sep 07, 2022 07:00 AM - Sep 07, 2022 07:45 AM",APPROVED,https://hubs.ly/Q01dqxPJ0
Från teori till praktik – implementera den nya tillgänglighetslagen,"May 15, 2025 03:00 PM - May 15, 2025 06:30 PM",APPROVED,https://www.goto10.se/event/fran-teori-till-praktik-implementera-den-nya-tillganglighetslagen-i-din-tjanst/
Ep 150: How to incorporate Chatgpt in your Product w/ Tulasi Menon,"Apr 18, 2023 06:27 AM - Apr 18, 2023 06:57 AM",APPROVED,https://content.productbeats.com/show-registration/
"Retreat Rewind ⏪ & Preview 🔮: Stories, Speakers, and What's Next","May 02, 2024 05:00 PM - May 02, 2024 07:00 PM",APPROVED,https://family.facilitatorsconnect.com/events/ED421C
Real Estate's influence on sales beyond property,"Aug 28, 2023 04:30 PM - Aug 28, 2023 05:30 PM",APPROVED,https://riverside.fm/studio/katrien-ss-studio
How AI Helps My Design Process AMA,"Apr 02, 2025 02:00 PM - Apr 02, 2025 03:00 PM",APPROVED,
Lunchwebbinar: Från insikt till handling i AI-eran,"Aug 29, 2025 09:30 AM - Aug 29, 2025 10:00 AM",RELINQUISHED,https://teams.microsoft.com/meet/3281951877984?p=HcN26C846DDxcf43GP
Change Your Training Delivery For A Better UX & Higher Employee Engagement,"Apr 28, 2022 04:00 PM - Apr 28, 2022 05:00 PM",APPROVED,https://bit.ly/3iNZh3T
How to uncover valuable AI opportunities in your unique business context?,"Nov 02, 2023 10:00 AM - Nov 02, 2023 11:30 AM",APPROVED,https://join.butter.us/sprjnt/ai-experience-session
Better Design Systems | Adobe XD Enterprise Live,"Nov 19, 2020 08:00 PM - Nov 19, 2020 09:00 PM",APPROVED,https://event.on24.com/wcc/r/2823656/835112028F18FFD221E34425E01DBE6E
Inside Look: A designer’s guide to research across the product life cycle,"Mar 12, 2025 03:00 AM - Mar 12, 2025 04:00 AM",APPROVED,
Vibe Coding for Designers: Build Apps with AI,"Mar 21, 2025 05:00 PM - Mar 21, 2025 06:00 PM",APPROVED,
Design Systems Field Guide #7: Unified Systems for UX Designers & UI Devs,"Dec 06, 2023 05:00 PM - Dec 06, 2023 06:00 PM",APPROVED,
Test Anneli och Melinda,"Jun 07, 2023 02:00 PM - Jun 07, 2023 03:00 PM",APPROVED,
LIVE intervju: Så utbildar och certifierar vi våra konsulter på distans,"Oct 06, 2021 07:00 AM - Oct 06, 2021 07:45 AM",APPROVED,
Webinar: Så hackar du din produktkarriär,"Mar 11, 2021 10:00 AM - Mar 11, 2021 11:00 AM",APPROVED,https://bit.ly/3q0Uw81
ChatXBM - om du vill skynda långsamt 😉,"Apr 26, 2023 09:00 AM - Apr 26, 2023 09:50 AM",APPROVED,
Webinar: Så jobbar Höganäs med digital introduktion & kompetensutveckling,"Feb 16, 2022 08:00 AM - Feb 16, 2022 08:45 AM",RELINQUISHED,https://get.learnifier.com/sv/event/hoganas/
19th Feb - GLDC Meetup 2: Western Hemisphere and Europe,"Feb 19, 2021 05:00 PM - Feb 19, 2021 06:00 PM",RELINQUISHED,
WDS Session 2: Strategy in practise with WDS,"Jan 15, 2026 04:00 PM - Jan 15, 2026 05:00 PM",APPROVED,https://whiteport.com/blog/wds-sessions-2-strategy-in-practise-with-wds/
Mental Mastery: Unpacking the Success Mindset,"Jun 19, 2023 07:00 PM - Jun 19, 2023 08:30 PM",APPROVED,
☀️👓Framtidens superkraft - Bemästra AI-automatisering och agenter👓 ☀️,"Aug 06, 2025 10:00 AM - Aug 06, 2025 10:30 AM",APPROVED,https://billetto.se/users/alfred-ai
How to work with GROWTH as a SaaS,"Mar 24, 2021 10:00 AM - Mar 24, 2021 11:00 AM",APPROVED,
SaaSiest 2025,"May 06, 2025 06:00 AM - May 07, 2025 01:30 PM",APPROVED,https://saasiest2025.com/
SaaSiest Digital 2023,"Sep 27, 2023 06:00 AM - Sep 27, 2023 05:00 PM",APPROVED,https://saasiestdigital2023.com/
Raoul Wallenberg Talks #1 – Vad har AI med mänskliga rättigheter att göra?,"Jan 20, 2022 08:00 AM - Jan 20, 2022 09:00 AM",APPROVED,http://stadshallen.se
Berghs och Almedalen: The new normal - 10 nycklar till framtidens arbetsliv,"Jul 05, 2021 09:00 AM - Jul 05, 2021 09:45 AM",APPROVED,https://berghs.zoom.us/webinar/register/WN_DNxBuIm5R3Wl5r9D6WZ_0A
Facilitators Connect sneak peek with Ahmad Munawar,"May 10, 2023 03:30 PM - May 10, 2023 04:30 PM",APPROVED,https://us06web.zoom.us/j/82616065113?pwd=UUIvZ0t0SitiQlRnYlVPSEI4M3EzZz09
The Future of Design Systems - Online Conference,"May 23, 2022 01:30 PM - May 25, 2022 08:00 PM",APPROVED,https://intodesignsystems.com
AI & HR - Kvartalsuppdatering,"Apr 28, 2026 06:30 AM - Apr 28, 2026 07:30 AM",APPROVED,
From Business to Buttons 2023,"May 12, 2023 06:00 AM - May 12, 2023 06:30 AM",RELINQUISHED,www.frombusinesstobuttons.com
Upskill & Reskill 2022 - Lär dig av de bästa - Gratis!,"Jan 25, 2022 08:00 AM - Jan 25, 2022 04:00 PM",APPROVED,https://massa.utbildning.se/upskill-reskill-2022/linkedinupskill
Djuplyssnande - En onlinekurs i lyssnande,"May 15, 2023 04:30 PM - May 15, 2023 07:00 PM",APPROVED,https://minaaktiviteter.se/pracademy/shop/new?event=184591
Get More Clients Pt. 8,"Jun 17, 2024 06:00 PM - Jun 17, 2024 07:30 PM",APPROVED,
Free Workshop: Improve Your Leadership Qualities,"Nov 16, 2023 06:00 PM - Nov 16, 2023 07:00 PM",APPROVED,https://meet.google.com/bjt-rsqc-kdq
Episode 119: The Roadmap - a curse or blessing for product managers?,"Sep 06, 2022 06:27 AM - Sep 06, 2022 06:57 AM",APPROVED,https://zoom.us/j/361674887
Nail Your Sales - Top Roleplay Mistakes,"Jun 13, 2024 04:00 PM - Jun 13, 2024 05:30 PM",APPROVED,
1st Jan - Global Learning and Development Meetup,"Jan 01, 2021 05:00 PM - Jan 01, 2021 06:00 PM",APPROVED,
Panelsamtal och boksläpp: Design av AI-drivna tjänster,"Sep 17, 2021 10:00 AM - Sep 17, 2021 11:00 AM",APPROVED,https://mailchi.mp/inuse.se/webinar
How to use a single source of truth to create shared understanding,"May 11, 2021 06:27 AM - May 11, 2021 06:57 AM",APPROVED,https://zoom.us/j/361674887
Så kompetensutvecklar NetOnNet sina medarbetare med digitalt lärande,"Apr 06, 2022 07:00 AM - Apr 06, 2022 07:45 AM",APPROVED,https://get.learnifier.com/sv/webinar/sa-jobbar-netonnet-med-digitalt-larande/
Episode 115: Who needs Data Analytics or how good is our Product intuition?,"Aug 09, 2022 06:27 AM - Aug 09, 2022 06:57 AM",RELINQUISHED,https://zoom.us/j/361674887
Omtänksam digitalisering – öppen dialog,"May 04, 2023 09:00 AM - May 04, 2023 09:50 AM",APPROVED,
